date,region,property_type,baseline,index_value
1981-01,Seven census metropolitan area composite,Office,"Index, 2002=100",58.4
1981-01,Seven census metropolitan area composite,Warehouse,"Index, 2002=100",53.3
1981-01,Seven census metropolitan area composite,Shopping centre,"Index, 2002=100",59.3
1981-01,Seven census metropolitan area composite,Light factory,"Index, 2002=100",50.1
1981-01,Seven census metropolitan area composite,School,"Index, 2002=100",56.1
1981-01,"Halifax, Nova Scotia",Office,"Index, 2002=100",66.6
1981-01,"Halifax, Nova Scotia",Office,"Index, 2002=100",71.8
1981-01,"Halifax, Nova Scotia",Office,"Index, 2002=100",77.2
1981-01,"Halifax, Nova Scotia",Office,"Index, 2002=100",50.4
1981-01,"Halifax, Nova Scotia",Office,"Index, 2002=100",49.7
1981-01,"Halifax, Nova Scotia",Warehouse,"Index, 2002=100",68.6
1981-01,"Halifax, Nova Scotia",Warehouse,"Index, 2002=100",68.1
1981-01,"Halifax, Nova Scotia",Warehouse,"Index, 2002=100",73.3
1981-01,"Halifax, Nova Scotia",Warehouse,"Index, 2002=100",53.0
1981-01,"Halifax, Nova Scotia",Warehouse,"Index, 2002=100",53.3
1981-01,"Halifax, Nova Scotia",Shopping centre,"Index, 2002=100",65.5
1981-01,"Halifax, Nova Scotia",Shopping centre,"Index, 2002=100",64.5
1981-01,"Halifax, Nova Scotia",Shopping centre,"Index, 2002=100",69.4
1981-01,"Halifax, Nova Scotia",Shopping centre,"Index, 2002=100",59.4
1981-01,"Halifax, Nova Scotia",Shopping centre,"Index, 2002=100",54.7
1981-01,"Halifax, Nova Scotia",Light factory,"Index, 2002=100",61.0
1981-01,"Halifax, Nova Scotia",Light factory,"Index, 2002=100",72.4
1981-01,"Halifax, Nova Scotia",Light factory,"Index, 2002=100",68.4
1981-01,"Halifax, Nova Scotia",Light factory,"Index, 2002=100",47.7
1981-01,"Halifax, Nova Scotia",Light factory,"Index, 2002=100",47.3
1981-01,"Halifax, Nova Scotia",School,"Index, 2002=100",62.6
1981-01,"Halifax, Nova Scotia",School,"Index, 2002=100",74.6
1981-01,"Halifax, Nova Scotia",School,"Index, 2002=100",70.6
1981-01,"Halifax, Nova Scotia",School,"Index, 2002=100",49.8
1981-01,"Halifax, Nova Scotia",School,"Index, 2002=100",49.3
1981-01,"Montréal, Quebec",Office,"Index, 2002=100",53.9
1981-01,"Montréal, Quebec",Office,"Index, 2002=100",57.8
1981-01,"Montréal, Quebec",Office,"Index, 2002=100",54.5
1981-01,"Montréal, Quebec",Office,"Index, 2002=100",51.6
1981-01,"Montréal, Quebec",Office,"Index, 2002=100",47.7
1981-01,"Montréal, Quebec",Warehouse,"Index, 2002=100",58.7
1981-01,"Montréal, Quebec",Warehouse,"Index, 2002=100",58.4
1981-01,"Montréal, Quebec",Warehouse,"Index, 2002=100",60.3
1981-01,"Montréal, Quebec",Warehouse,"Index, 2002=100",50.8
1981-01,"Montréal, Quebec",Warehouse,"Index, 2002=100",52.5
1981-01,"Montréal, Quebec",Shopping centre,"Index, 2002=100",57.9
1981-01,"Montréal, Quebec",Shopping centre,"Index, 2002=100",56.9
1981-01,"Montréal, Quebec",Shopping centre,"Index, 2002=100",57.5
1981-01,"Montréal, Quebec",Shopping centre,"Index, 2002=100",63.1
1981-01,"Montréal, Quebec",Shopping centre,"Index, 2002=100",55.5
1981-01,"Montréal, Quebec",Light factory,"Index, 2002=100",52.5
1981-01,"Montréal, Quebec",Light factory,"Index, 2002=100",55.3
1981-01,"Montréal, Quebec",Light factory,"Index, 2002=100",52.2
1981-01,"Montréal, Quebec",Light factory,"Index, 2002=100",52.3
1981-01,"Montréal, Quebec",Light factory,"Index, 2002=100",51.4
1981-01,"Montréal, Quebec",School,"Index, 2002=100",53.0
1981-01,"Montréal, Quebec",School,"Index, 2002=100",52.8
1981-01,"Montréal, Quebec",School,"Index, 2002=100",54.7
