"REF_DATE","GEO","DGUID","Housing estimates","Type of unit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1955","Canada","2016A000011124","Housing starts","Total units","Units","300","units ","0","v730579","1.1.1","138276","","","","0"
"1955","Canada","2016A000011124","Housing starts","Single-detached","Units","300","units ","0","v730524","1.1.2","99003","","","","0"
"1955","Canada","2016A000011124","Housing starts","Multiples","Units","300","units ","0","v730568","1.1.4","39273","","","","0"
"1955","Canada","2016A000011124","Housing starts","Semi-detached","Units","300","units ","0","v730535","1.1.3","10606","","","","0"
"1955","Canada","2016A000011124","Housing starts","Row","Units","300","units ","0","v730546","1.1.5","1909","","","","0"
"1955","Canada","2016A000011124","Housing starts","Apartment and other unit types","Units","300","units ","0","v730557","1.1.6","26758","","","","0"
"1955","Canada","2016A000011124","Housing completions","Total units","Units","300","units ","0","v732453","1.3.1","127929","","","","0"
"1955","Canada","2016A000011124","Housing completions","Single-detached","Units","300","units ","0","v732398","1.3.2","90553","","","","0"
"1955","Canada","2016A000011124","Housing completions","Multiples","Units","300","units ","0","v732442","1.3.4","37376","","","","0"
"1955","Canada","2016A000011124","Housing completions","Semi-detached","Units","300","units ","0","v732409","1.3.3","8278","","","","0"
"1955","Canada","2016A000011124","Housing completions","Row","Units","300","units ","0","v732420","1.3.5","1547","","","","0"
"1955","Canada","2016A000011124","Housing completions","Apartment and other unit types","Units","300","units ","0","v732431","1.3.6","27551","","","","0"
"1955","Newfoundland and Labrador","2016A000210","Housing starts","Total units","Units","300","units ","0","v730580","2.1.1","1613","","","","0"
"1955","Newfoundland and Labrador","2016A000210","Housing starts","Single-detached","Units","300","units ","0","v730525","2.1.2","1599","","","","0"
"1955","Newfoundland and Labrador","2016A000210","Housing starts","Multiples","Units","300","units ","0","v730569","2.1.4","14","","","","0"
"1955","Newfoundland and Labrador","2016A000210","Housing starts","Semi-detached","Units","300","units ","0","v730536","2.1.3","6","","","","0"
"1955","Newfoundland and Labrador","2016A000210","Housing starts","Row","Units","300","units ","0","v730547","2.1.5","0","","","","0"
"1955","Newfoundland and Labrador","2016A000210","Housing starts","Apartment and other unit types","Units","300","units ","0","v730558","2.1.6","8","","","","0"
"1955","Newfoundland and Labrador","2016A000210","Housing completions","Total units","Units","300","units ","0","v732454","2.3.1","1284","","","","0"
"1955","Newfoundland and Labrador","2016A000210","Housing completions","Single-detached","Units","300","units ","0","v732399","2.3.2","1267","","","","0"
"1955","Newfoundland and Labrador","2016A000210","Housing completions","Multiples","Units","300","units ","0","v732443","2.3.4","17","","","","0"
"1955","Newfoundland and Labrador","2016A000210","Housing completions","Semi-detached","Units","300","units ","0","v732410","2.3.3","2","","","","0"
"1955","Newfoundland and Labrador","2016A000210","Housing completions","Row","Units","300","units ","0","v732421","2.3.5","0","","","","0"
"1955","Newfoundland and Labrador","2016A000210","Housing completions","Apartment and other unit types","Units","300","units ","0","v732432","2.3.6","15","","","","0"
